SMPY Bibliography,http://gwern.net/SMPY,6
Conscientiousness & Online Education,http://gwern.net/Conscientiousness-and-online-education,8
Melatonin,http://gwern.net/Melatonin,9
Modafinil,http://gwern.net/Modafinil,9
Zeo sleep self-experiments,http://gwern.net/Zeo,8
Caffeine,http://gwern.net/zeo/Caffeine,5
Potassium,http://gwern.net/zeo/Potassium,4
Redshift/f.lux,http://gwern.net/zeo/Redshift,7
Vitamin D,http://gwern.net/zeo/Vitamin-D,7
ZMA,http://gwern.net/zeo/ZMA,4
Wooden pillows,http://gwern.net/Wooden-pillows,2
Lunar circadian rhythms,http://gwern.net/Lunar-sleep,3
Nootropics experiments,http://gwern.net/Nootropics,7
LSD microdosing,http://gwern.net/LSD-microdosing,6
Nicotine,http://gwern.net/Nicotine,9
Creatine/cognition meta-analysis,http://gwern.net/Creatine,5
Lithium in ground-water review,http://gwern.net/Lithium,9
Spirulina allergy experiment,http://gwern.net/2014-spirulina,0
Bitter melon blood-glucose experiment,http://gwern.net/Melon,6
Meditation & math errors,http://gwern.net/Lewis-meditation,4
Weather/mood,http://gwern.net/Weather,8
Treadmill memory/typing experiment,http://gwern.net/Treadmill,3
Bacopa quasi-experiment,http://gwern.net/Bacopa,3
Evolutionary Heuristics for Drugs,http://gwern.net/Drug-heuristics,10
Laws of Tech: Commoditize Your Complement,http://gwern.net/Complement,5
Girl Scouts & Good Governance,http://gwern.net/Girl-Scouts-and-good-governance,7
Plastination vs Cryonics,http://gwern.net/plastination,9
Charity is not about helping,http://gwern.net/Charity-is-not-about-helping,8
Console Insurance,http://gwern.net/Console-Insurance,4
Life contracts,http://gwern.net/Life-contract,7
Terrorism is not about Terror,http://gwern.net/Terrorism-is-not-about-Terror,8
Terrorism is not Effective,http://gwern.net/Terrorism-is-not-Effective,8
The Melancholy of Subculture Society,http://gwern.net/The-Melancholy-of-Subculture-Society,9
Moore’s law & chip fabs,http://gwern.net/Slowing-Moores-Law,7
Colder Wars,http://gwern.net/Colder-Wars,10
Why Didn’t Denmark Sell Greenland?,http://gwern.net/Greenland,2
Culture is not about Esthetics,http://gwern.net/Culture-is-not-about-Esthetics,7
On Powerful Natural Languages,http://gwern.net/Language,6
Ontological pantheism,http://gwern.net/Ontological-pantheism,2
The Narrowing Circle,http://gwern.net/The-Narrowing-Circle,8
Bicycles and Rationality,http://gwern.net/Bicycles-and-Rationality,3
On Disrespect,http://gwern.net/On-Disrespect,1
Justifications,http://gwern.net/Justifications,0
Against The Miletians,http://gwern.net/Against-The-Miletians,3
An Abortion Dialogue,http://gwern.net/An-Abortion-Dialogue,2
Copyright,http://gwern.net/Copyright,2
Immoral Books,http://gwern.net/Immoral-Books,1
Isomorphisms,http://gwern.net/Isomorphisms,3
Moral Sperm Donation,http://gwern.net/Ethical-sperm-donation,8
On Stress,http://gwern.net/On-Stress,2
Zen and the Art of Bicycle Maintenance,http://gwern.net/Zen-and-the-Art-of-Bicycle-Maintenance,6
“The Erl King”,http://gwern.net/fiction/The-Erl-King,0
“The Ones Who Walk Towards Acre”,http://gwern.net/fiction/The-Ones-Who-Walk-Towards-Acre,0
“Missing Cities”,http://gwern.net/fiction/Missing-Cities,0
“Men of Iron”,http://gwern.net/fiction/Men-of-Iron,0
"“Gilles Goullet, Author of ",http://gwern.net/fiction/Menard,0
“How the Panther got Black”,http://gwern.net/fiction/How-the-Panther-got-Black,0
“The Palace of Wonders”,http://gwern.net/fiction/The-Palace-of-Wonders,0
<em>Cloud Nine</em>,http://gwern.net/fiction/Cloud-Nine,0
“The Last Muezzin”,http://gwern.net/fiction/The-Last-Muezzin,0
“The Gift of the Amygdali”,http://gwern.net/fiction/Batman,0
<em>Dinosaur Comics</em>,http://gwern.net/fiction/Dinosaur-Comics,0
“The Buddha’s Wheel”,http://gwern.net/fiction/The-Buddhas-Wheel,0
Poems,http://gwern.net/fiction/Poems,0
‘Brave poem’,http://gwern.net/fiction/Brave-poem,0
‘Dying Outside’,http://gwern.net/fiction/Dying-Outside,0
Poems on the theme of ,http://gwern.net/fiction/Genshiken,0
‘Safecracker’,http://gwern.net/fiction/Safecracker,0
‘Hybrid Rainbow’,http://gwern.net/fiction/Hybrid-Rainbow,0
On Gene Wolfe’s “Suzanne Delage”,http://gwern.net/Suzanne-Delage,1
"""Story Of Your Life"" Is Not A Time-Travel Story",http://gwern.net/Story-Of-Your-Life,1
Genetics and Eugenics in Frank Herbert's ,http://gwern.net/Dune-genetics,3
"""Scanners Live in Vain"" as realistic SF",http://gwern.net/Scanners,3
The Mulberry Tree,http://gwern.net/fiction/The-Mulberry-Tree,0
The Snowbanks of Time,http://gwern.net/fiction/The-Snowbanks-of-Time,0
The Melancholy of Kyon,http://gwern.net/The-Melancholy-of-Kyon,1
<em>Death Note</em>,http://gwern.net/Death-Note-Anonymity,7
"""",http://gwern.net/MLP,3
<em>Death Note</em>,http://gwern.net/Death-Note-script,1
<em>Death Note</em>,http://gwern.net/Death-Note-Ending,2
Hafu Gender Ratios in Anime,http://gwern.net/Hafu,1
<em>Aria</em>,http://gwern.net/Arias-past-present-and-future,3
Anime criticism not about quality,http://gwern.net/Anime-criticism-is-not-about-quality,2
<em>FMP</em>,http://gwern.net/FMP-parody,0
“Komm Susser Tod”,http://gwern.net/komm-susser-tod,0
<em>Radiance</em>,http://gwern.net/docs/radiance/2002-scholz-radiance,8
<em>Metamagical Themas</em>,http://gwern.net/docs/xrisks/1985-hofstadter,10
"""The Iron Law of Evaluation And Other Metallic Rules""",http://gwern.net/docs/sociology/1987-rossi,9
John Nash on cryptography & P=NP (1955),http://gwern.net/docs/cs/1955-nash,4
“The Ups and Downs of the Hope Function In a Fruitless Search”,http://gwern.net/docs/statistics/bayes/1994-falk,4
Wei Dai/Satoshi Nakamoto 2009 Bitcoin emails,http://gwern.net/docs/bitcoin/2008-nakamoto,5
"""The Crypto-Currency: Bitcoin and its mysterious inventor""",http://gwern.net/docs/bitcoin/2011-davis,5
“Shiny balls of Mud: William Gibson Looks at Japanese Pursuits of Perfection”,http://gwern.net/docs/japanese/2002-gibson,5
“Nor the Summers as Golden: Writing Multivolume Works”,http://gwern.net/docs/culture/2007-wolfe,0
"""Loyal to the Group of Seventeen's Story - The Just Man""",http://gwern.net/docs/culture/1983-wolfe-thecitadeloftheautarch-thejustman,1
“The Sword of Achilles”,http://gwern.net/docs/culture/1963-asimov,7
<em>Drugs 2.0</em>,http://gwern.net/docs/sr/2013-power,7
2014 Jed McCaleb MtGox interview,http://gwern.net/docs/bitcoin/2014-mccaleb,5
<em>NGE</em>,http://gwern.net/otaku,3
<em>The Notenki Memoirs</em>,http://gwern.net/docs/eva/2002-takeda-notenkimemoirs,2
<em>NGE 2.0 Complete Records Collection</em>,http://gwern.net/docs/eva/2010-crc,1
“Conscience of the Otaking”,http://gwern.net/docs/eva/1996-animerica-conscience-otaking,2
“Interviewing Gainax translator Michael House”,http://gwern.net/docs/eva/2011-house,1
1996 Hideaki Anno interview,http://gwern.net/docs/eva/1996-newtype-anno-interview,1
1997 Hideaki Anno interview,http://gwern.net/docs/eva/1997-animeland-may-hideakianno-interview-english,1
French,http://gwern.net/docs/eva/1997-animeland-may-hideakianno-interview-french,0
“Talk About RahXephon: In Search of Fantasy & Details”,http://gwern.net/docs/eva/2003-oshii-izubuchi,0
“Special Talk: Yutaka Izubuchi x Hideaki Anno”,http://gwern.net/docs/eva/2003-rahxephoncomplete-anno-izubuchi,0
“Otaku Talk”,http://gwern.net/docs/eva/2004-okada,1
“Earth in My Window”,http://gwern.net/docs/eva/2005-murakami,2
Utena 2011 Boxset Booklet Commentary,http://gwern.net/docs/anime/1997-utena,1
“On The Battlefield of ‘Superflat’”,http://gwern.net/docs/eva/2005-sawaragi,0
“Ero-Anime: Manga Comes Alive”,http://gwern.net/docs/anime/2010-sarrazin,0
In Defense Of Inclusionism,http://gwern.net/In-Defense-Of-Inclusionism,8
Wikipedia & Darkside Editing,http://gwern.net/Wikipedia-and-Dark-Side-Editing,4
Wikipedia & Other Wikis,http://gwern.net/Wikipedia-and-Other-Wikis,8
Wikipedia & YouTube,http://gwern.net/Wikipedia-and-YouTube,4
Wikipedia & Knol,http://gwern.net/Wikipedia-and-Knol,6
My Wikipedia articles,http://gwern.net/Wikipedia-resume,4
About,http://gwern.net/About,3
Links,http://gwern.net/Links,3
Notes,http://gwern.net/Notes,5
Epigrams,http://gwern.net/Epigrams,7
Book reviews/ratings,http://gwern.net/Book-reviews,5
Tea reviews,http://gwern.net/Tea,1
Mead,http://gwern.net/Mead,0
2010,http://gwern.net/ICON-2010,1
2011,http://gwern.net/ICON-2011,1
2012,http://gwern.net/ICON-2012,1
Online blackmail attempts,http://gwern.net/Blackmail,2
“A Human Story”,http://gwern.net/fiction/A-Human-Story,0
Stories,http://gwern.net/fiction/Stories,0
